Subject,Day,Condition,Threshold,FA_Rate
SUBJ-ID-1129,5,drGFP-Cre (IC) + Saline (ACx),-14.5456,0.08
SUBJ-ID-1129,6,drGFP-Cre (IC) + Saline (ACx),-13.6917,0.070988
SUBJ-ID-1129,7,drGFP-Cre (IC) + Saline (ACx),-22.8686,0.051873
SUBJ-ID-1129,8,drGFP-Cre (IC) + Saline (ACx),-18.4842,0.076087
SUBJ-ID-1129,9,drGFP-Cre (IC) + Saline (ACx),-20.177,0.088525
SUBJ-ID-1129,10,drGFP-Cre (IC) + Saline (ACx),-19.3575,0.064706
SUBJ-ID-1130,1,drGFP-Cre (IC) + Saline (ACx),-10.8417,0.057692
SUBJ-ID-1130,2,drGFP-Cre (IC) + Saline (ACx),-6.65855,0.060317
SUBJ-ID-1130,3,drGFP-Cre (IC) + Saline (ACx),-6.83026,0.076453
SUBJ-ID-1130,4,drGFP-Cre (IC) + Saline (ACx),-7.77438,0.018018
SUBJ-ID-1130,5,drGFP-Cre (IC) + Saline (ACx),-12.1935,0.072993
SUBJ-ID-1130,6,drGFP-Cre (IC) + Saline (ACx),-14.1695,0.054545
SUBJ-ID-1130,7,drGFP-Cre (IC) + Saline (ACx),-14.9678,0.032362
SUBJ-ID-1130,8,drGFP-Cre (IC) + Saline (ACx),-16.0447,0.059659
SUBJ-ID-1130,9,drGFP-Cre (IC) + Saline (ACx),-18.2921,0.053892
SUBJ-ID-1130,10,drGFP-Cre (IC) + Saline (ACx),-18.0697,0.10633
SUBJ-ID-1148,1,drGFP-Cre (IC) + Saline (ACx),-10.5901,0.064516
SUBJ-ID-1148,2,drGFP-Cre (IC) + Saline (ACx),-12.0121,0.077151
SUBJ-ID-1148,3,drGFP-Cre (IC) + Saline (ACx),-15.2312,0.05296
SUBJ-ID-1148,4,drGFP-Cre (IC) + Saline (ACx),-11.9657,0.12303
SUBJ-ID-1148,5,drGFP-Cre (IC) + Saline (ACx),-11.2711,0.095563
SUBJ-ID-1148,6,drGFP-Cre (IC) + Saline (ACx),-13.2307,0.069277
SUBJ-ID-1148,7,drGFP-Cre (IC) + Saline (ACx),-12.768,0.064103
SUBJ-ID-1148,8,drGFP-Cre (IC) + Saline (ACx),-16.8083,0.02589
SUBJ-ID-1148,9,drGFP-Cre (IC) + Saline (ACx),-16.4139,0.057823
SUBJ-ID-1148,10,drGFP-Cre (IC) + Saline (ACx),-16.1972,0.083333
SUBJ-ID-1149,1,drGFP-Cre (IC) + Saline (ACx),-14.876,0.05
SUBJ-ID-1149,2,drGFP-Cre (IC) + Saline (ACx),-13.7238,0.062284
SUBJ-ID-1149,3,drGFP-Cre (IC) + Saline (ACx),-13.6095,0.10368
SUBJ-ID-1149,4,drGFP-Cre (IC) + Saline (ACx),-13.0357,0.083601
SUBJ-ID-1149,5,drGFP-Cre (IC) + Saline (ACx),-18.7195,0.047619
SUBJ-ID-1149,6,drGFP-Cre (IC) + Saline (ACx),-13.2665,0.065574
SUBJ-ID-1149,7,drGFP-Cre (IC) + Saline (ACx),-15.0967,0.088328
SUBJ-ID-1149,8,drGFP-Cre (IC) + Saline (ACx),-18.0897,0.044164
SUBJ-ID-1149,9,drGFP-Cre (IC) + Saline (ACx),-14.9138,0.076705
SUBJ-ID-1149,10,drGFP-Cre (IC) + Saline (ACx),-15.4673,0.064815
